,V1,V2,V3
1,1,what are azithromycin side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20100906131213AA6ElRj
2,2,anyone who took azithromycin? any bad side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20070905041559AAEjwgz
3,3,"how long do azithromycin side effects last? | yahoo answers | i took 1 gram yesterday to treat chlamydia when i went to the doctor and i've been feeling nauseous somehow and with some stomach pain.. and also like i'm bloated or something, i don't know if those would even be considered ""side effects"", but i'm worried if they're not side effects...",https://answers.yahoo.com/question/index?qid=20110810233556AA3KLph
4,4,azithromycin side effects? | yahoo answers | okay so i went to the doctor today and he prescribed me the antibiotic azithromycin 250 mg. i just took the first 2 like you're supposed to about 2 hours ago. is it normal to be feeling sleepy? i mean i was drowsy before last night too and dizzy. but i just got sleepy after taking it. and i also got diarheaa....,https://answers.yahoo.com/question/index?qid=20131001120305AAhKBzn
5,5,"z-pak azithromycin side effects???? | yahoo answers | has anyone ever take z-pak (azithromycin) and had anxiety or nervousness while taking it? also, i have loss of appetite too.  it says it is a symptom of z-pak on the insert.  if you did have nervousness or anxiety how long did it last?  i still have it and i stopped the pills 4 days ago. thanks",https://answers.yahoo.com/question/index?qid=20071115173302AAnz359
6,6,"anyone know about azithromycin side effects in cats? | yahoo answers | my kitty was diagnosed with bartonella 3 days ago. she has been put on azihthromycic oral oil 100mg/ml susp. once a day for 1 month. she started it 2 days ago, and since then has completely stopped eating. she is already anemic and is also on prednisolone. but the appetite loss is new, and since being on...",https://answers.yahoo.com/question/index?qid=20100130173457AApUT4a
7,7,"azithromycin (antibiotic) and side effect? | yahoo answers | i just read a little bit about this antibiotic, and one of the side effects listed is a yeast infection. i was just wondering how common it is.the dosage is 500 mg, for 3 days, once each day, so 3 tablets. is there a high chance that someone would get a yeast infection?i'm so worried, please help!thanks!",https://answers.yahoo.com/question/index?qid=20090803185033AA0uL6h
8,8,anyone tried azithromycin and had no side effects or did you really have bad side effects?? i am worried that? | yahoo answers | i will have bad side effects.,https://answers.yahoo.com/question/index?qid=20071228021818AAkRqgd
9,9,"i'm taking azithromycin...are these side effects normal? | yahoo answers | i'm taking azithromycin for a sore throat and have been feeling really nauseous, stomach pain and haven't been hungry at all. the side effects are worse then the actual sickness itself for me. is this normal or should i go to my doctor?",https://answers.yahoo.com/question/index?qid=20090520182516AAaqUQC
10,10,azithromycin side effects.? | yahoo answers | my doctor prescribed me azithromycin due to my throat being swollen with white spots plus i have swollen glands around my neck. the second day of taking the antibiotic i've developed red bumps that do not itch. is this a allergic reaction? i feel fine. i'm not having trouble breathing. i've talked to my...,https://answers.yahoo.com/question/index?qid=20111215030734AANYnEy
11,11,i was given azithromycin to treat my chlamydia. are there any side effects to this? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20091203134811AA3Btnj
12,12,azithromycin side effects? how long? | yahoo answers | i have been on this for 3 days now at 500mg and started experience naseau and diarhea how long will this last? and how long does it stay in your sytstem? watery and mucus in stool im 28 male 180 pounds.,https://answers.yahoo.com/question/index?qid=20110728205112AAiuzv5
13,13,"side effects of azithromycin? | yahoo answers | i just started taking it today. i will feel extremely nauseous one minute, and then extremely hungry and lightheaded. it keeps switching back and forth. is this normal? or could this be because of the cold i am getting over?",https://answers.yahoo.com/question/index?qid=20111018224311AACEy2u
14,14,if you take azithromycin and your body is neither having these diseases.what are the side effects to the body? | yahoo answers | am doing research on this medication of late one my brother was given such a medicen and it resulted into keen baouging.all i know is the guy given wrong medication pliz help,https://answers.yahoo.com/question/index?qid=20071010175129AAdvmpE
15,15,what are the side effects of drinking while on azithromycin? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20090730091433AASQcXD
16,16,"azithromycin side effects question? | yahoo answers | i just finished taking azithromycin a few days ago for a sinus infection. i had really bad stomach cramps while i was taking it. this morning i woke up with a very bad headache, stomach cramps, and was so nauseous that i was dry heaving. even though i finished the azithromycin a few days ago, the package says that...",https://answers.yahoo.com/question/index?qid=20131121053005AAijHJL
17,17,"are any of these side effects of azithromycin or lexapro? | yahoo answers | 4 days ago i was prescribed azithromycin for a sinus infection and lexapro for anxiety and depression, since then i have has moderate itching of the skin and i already have bad anxiety but it has spiked through the roof and i have had increased urination.  i called the doctor today, but they never called back to...",https://answers.yahoo.com/question/index?qid=20080728213319AAeXYcn
18,18,"how long after taking azithromycin will the side effects kick in? | yahoo answers | i have bronchitis and i was prescribed azithromycin. 3 days, 500 mg per day. i had the same drug fall 2009 for a mild case of pneumonia, but it was the 5 day pack. i remember having horrible diarrhea that night. since it's the same stuff, and a stronger dose, i assume i'm going to get diarrhea again....",https://answers.yahoo.com/question/index?qid=20110131173036AAyzkZf
19,19,"side effects of azithromycin? | yahoo answers | hi, i have a sinus infection and i was having really bad nausea and dizziness from the bactrim i was taking. so i went back to my doctor and switched the bactrim out for azithromycin. just wanna know what i should expect out of this one. thanks.",https://answers.yahoo.com/question/index?qid=20090129140050AAKSTqM
