,Question,Type
1,"warfarin side effects question? | yahoo answers | my mom was put on warfarin about a month ago, for a blood clot in her leg anyways she has almost all of the side effects, and she tells her doctors but they dont listen. is there anything really bad that can happen to a person thats experiencing bad side effects on warfarin? like what can happen and stuff. please...",P
2,"can itching be a side effect of warfarin? | yahoo answers | i have been on warfarin 5-7mg everyday for the past 3 weeks or so after being hospitalized with a total of 4 blood clots.  i had a large clot in right knee 2-3 weeks following an acl surgical repair, a small clot in the other leg, a pulmonary embolus in my pulmonary artery (worst clot of all) and a pe in the other...",P
3,"do you have side effects of warfarin sodium? | yahoo answers | do you have any side effects? i had open heart surgery on june 28th 2012, a valve replaced, medal one, then put on warfarin sodium, 4mgs monday, wednesday & friday, then 6mgs the rest of the days.  i get regular blood checks.  since i started the warfarin, i feel weird, like almost hyper, can't relax and for...",P
4,what are the side effects of taking warfarin and being pregnant? | yahoo answers | so i am a 16 year old girl taking a blood thinner. before this i was so healthy and very active in school && sports. i think i might be pregnant. and cant tell my mom because she will force me to get an abortion and i will not. so i need to know what i can do. and how to tell her or how to hide it as long as...,P
5,im wondering if anyone has experienced side effects from taking warfarin? | yahoo answers | i have been taking warfarin for 4 months and am noticing water retention and big time weight gain.has anyone out there had any of this happening. im also wondering about any other side effects noticed.,P
6,"help needed - asap! pregnant or warfarin side effects? | yahoo answers | okay so i posted before about my possibility of being pregnant (had intercourse unprotected, no ejaculation, i was on the pill) and this question is pretty much the same...kinda. so, anyway, i'm in hospital now,for 7 days having discovered i have a clot in both of my lungs. i'm 17 and was an average...",P
7,"possible side effect of coumadin? | yahoo answers | are higher blood pressure (about 20 points) and/or lower heart rate possible side effects od coumadin that anyone else knows about???  i know that lower blood pressure is possible.  if not, could it be a drug interaction.  my dad has atrial fibrillation and has been on coumadin for a couple of weeks and both...",P
8,"what are the side effects of warfarin? | yahoo answers | my grandmother has tooken this and she get's real sick. i know she needs to take it, but what's the point when she get's so sick that she has to go to the hospital?",P
9,"coumadin (warfarin) question. is hair loss a ""common"" side effect of coumadin? | yahoo answers | also when it gets to high she feels kind of a heart burn ""like"" feeling. is this a symptom of high inr or just coincidence?       for all you insomniacs out there.",P
10,"soothing a sore throat as a side effect of warfarin? | yahoo answers | i take warfarin every night. now and then my dosage is changed. when i have to take more than 5mg per night, the next morning i wake up and my throat hurts so bad its hard to talk actually. unfortunately, my doctor has decided i need to take 5 (or more) from now on. so, does anyone have home remedies (not...",P
11,"side effects of contraceptive injection when taking warfarin? | yahoo answers | i am on warfarin for the next 6 months, i have recently had an emergancy copper coil fitted but as its causing so much pain and very heavy periods, i am thinking about going on the injection, are there any side effects known when taking warfarin? is it true the injection is likely to cause weight gain? bad skin?...",P
12,"ginkgo biloba side effects? | yahoo answers | hey guys, i’ve been taking ginkgold (ginkgo (ginkgo biloba) for a few days now and i’m feeling like all my senses have been enhance. i was wondering if this was normal or it was something else. also do you guys happen to know the side effects for this?",P
13,side effects of acitrom tablet? | yahoo answers | i am using acitrom tablet for past few years. i need to know the side effects of the acitrom tablet. can you pls tell me? your information will be precious for me to survey.,P
14,warfarin 5mg tablets? how dangerous is it? | yahoo answers | my mother who is in her late 70s has been prescribed warfarin 5mg tablets. can anyone who also takes these/knows someone that does please give me a personal account on what the side effects are. thanks,P
15,"question about ciprofloxacin and its side effects? | yahoo answers | hello! i have been prescribed to take ciprofloxacin 500 mg twice daily to treat my uti. today is my 5-th day taking this medicine,however i still feel pain and burning feeling when urinating. but what concerns me more, i started to sweat a loooooot (especially last night) also skin on my hands looks like it was...",P
16,what are the side effects of drinking on coumidin(warfarin)? | yahoo answers | i have to take blood thinners for the rest of my life.  i take (15mg) every day but sunday which is (10mg).  on top of that i drink alcohol some times heavily.  what are some of the side effectsof doing this?  i've experienced nothing.,P
17,what are the side effects to paxil? | yahoo answers | my doctor put me on paxil for my anxiety and told me that it would help me with depression as well. i don't think i'm depressed nor do i feel depressed (have been in the past) but do suffer from anxiety disorder. and today i took my first paxil pill and lots of stuff running through my head. i feel...,P
18,"antibiotics and side effects? | yahoo answers | the antibiotic azithromycin tabletes?hi, i went to the emergency room a few days ago in regards to pain i was having in my ear. they told me i got a really bad ear infection. i started to take this antibiotic called azithromycin tablets. the first day i took it wasn't so bad. but i woke up this morning with...",P
19,"warfarin, does anyone have any experiences to share? | yahoo answers | hii am a 33 year old male, fit, ideal weight, non smoker and very occassional drinker. diet is healthy.i am just recovering from a dvt in my left calf, this follows a pe in 2006, the cause of which has never been diagnosed.i have now been perscribed warfarin for life but the information on the net and...",P
21,"side effects of discontinuing xarelto?please help!? | yahoo answers | my mom's doctor prescribed her xarelto as a blood thinner...but it is causing major bleeding in her gums....major... what are the side effects if she discontinues the medication? as i was researching on the web,i only see side effects for patients with  nonvalvular atrial fibrillation,and she does not have that....",P
22,"side effects of sulfamethoxazole-tmp ds tabitp? | yahoo answers | i've been taking this for nearly a day now, and to be honest i feel like more s.hit then i did before. i have cotton mouth and everything i eat tastes the same, like total garbage. not to mention i'm very thirsty always. however as much as i drink it won't make the taste or cotton mouth go away. ah, and...",P
23,when should one take blood thinner tablet...clopigrel 75mg.what r the side effects? | yahoo answers | actually what is happening in human body after taking blood thinner medicines?,P
24,high levels of warfarin?(coumadin)? | yahoo answers | i am almost 23 and was put on warfarin because i got blood clots in my left leg and lungs.last year  (right lung got it worst) and i have been getting really bad brusing for about two weeks. i recently took a lab to check my warfarin levels and they are high. i want to know what an happen if they are too high and...,P
25,i have anxiety/panic attacks i been on zoloft for about 1 year i been on 50mg i began to have side effect? | yahoo answers | i reduced it to 25mg i have horrfic feelings its like im dying and i feel my blood is not moving and i feel like no more adrenaline in my body what they is going on please answer thanx,P
26,"are there any side effects from taking celery seed infusions? | yahoo answers | my friend said to take celery seed tea for inflammation, but i don't know if there are any side effects.",P
27,"warfarin muscle pain? | yahoo answers | hello. i've been taking warfarin(5mg) for almost a week now and for the passed couple nights i got horrible muscle pain,heart pain and skin color changed...(i never have any muscle pain before but i have irregular heartbeat because of graves disease).just wondering what is the reason causing the pain? side...",P
28,does warfarin cause weight gain? | yahoo answers | okay i am a 14yr old female and i am on coumadin for the rest of my life and i have been taking it for almost 2 and a 1/2 months and i am a perfect weight for my age and size i am 5'8 and 130.2 pounds(just went to the specialist yesterday) forgot to ask. but will it make me gain weight because i love my body...,P
29,how many different milligrams of coumadin are they? | yahoo answers | my mom is taking coumadin and is bruising horribly and bleeding fom her bowels & kidneys. the doctors are having ah hard time getting the right dosage for her. she has an irregular heartbeat. she is now taking 5 miligrams every other day. does coumadin come in lower dosages than 5mg. is this a side effect of coumadin?,P
