,QuestionNumber,Question,Url,Type
1,1,"warfarin side effects question? | yahoo answers | my mom was put on warfarin about a month ago, for a blood clot in her leg anyways she has almost all of the side effects, and she tells her doctors but they dont listen. is there anything really bad that can happen to a person thats experiencing bad side effects on warfarin? like what can happen and stuff. please...",https://answers.yahoo.com/question/index?qid=20090913162848AAhebWz,P
2,2,"can itching be a side effect of warfarin? | yahoo answers | i have been on warfarin 5-7mg everyday for the past 3 weeks or so after being hospitalized with a total of 4 blood clots.  i had a large clot in right knee 2-3 weeks following an acl surgical repair, a small clot in the other leg, a pulmonary embolus in my pulmonary artery (worst clot of all) and a pe in the other...",https://answers.yahoo.com/question/index?qid=20070920093720AAVHTwy,P
3,3,what are the side effects of warfarin(coumadin)? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20100410201051AAbDDZL,G
4,4,"do you have side effects of warfarin sodium? | yahoo answers | do you have any side effects? i had open heart surgery on june 28th 2012, a valve replaced, medal one, then put on warfarin sodium, 4mgs monday, wednesday & friday, then 6mgs the rest of the days.  i get regular blood checks.  since i started the warfarin, i feel weird, like almost hyper, can't relax and for...",https://answers.yahoo.com/question/index?qid=20120903195138AAOc9dy,P
5,5,what are the side effects of taking warfarin and being pregnant? | yahoo answers | so i am a 16 year old girl taking a blood thinner. before this i was so healthy and very active in school && sports. i think i might be pregnant. and cant tell my mom because she will force me to get an abortion and i will not. so i need to know what i can do. and how to tell her or how to hide it as long as...,https://answers.yahoo.com/question/index?qid=20090205121920AAoBE5X,P
6,6,im wondering if anyone has experienced side effects from taking warfarin? | yahoo answers | i have been taking warfarin for 4 months and am noticing water retention and big time weight gain.has anyone out there had any of this happening. im also wondering about any other side effects noticed.,https://answers.yahoo.com/question/index?qid=20061212113644AA3w8QY,P
7,7,"help needed - asap! pregnant or warfarin side effects? | yahoo answers | okay so i posted before about my possibility of being pregnant (had intercourse unprotected, no ejaculation, i was on the pill) and this question is pretty much the same...kinda. so, anyway, i'm in hospital now,for 7 days having discovered i have a clot in both of my lungs. i'm 17 and was an average...",https://answers.yahoo.com/question/index?qid=20120804101630AA2Abw3,P
8,8,side effects of warfarin? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20120721211235AA05HUp,G
9,9,are shortness of breath a side effect of warfarin? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20100110153617AAP8tWI,G
10,10,what are the side effects of coming off warfarin? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20120405125604AAlDj2M,G
