"","V1","V2"
"tmp","2","embolus"
"tmp","4","surgery"
"tmp","5","abortion"
"tmp","6","water retention"
"tmp","7","rage"
"tmp","11","atrial fibrillation"
"tmp","11","drug interaction"
"tmp","13","insomnia"
"tmp","13","burn"
"tmp","15","pain"
"tmp","19","anger"
"tmp","22","pain"
"tmp","22","burn"
"tmp","24","anxiety"
"tmp","24","depression"
"tmp","24","anxiety disorder"
"tmp","25","infection"
"tmp","25","pain"
"tmp","25","ear infection"
"tmp","27","vt"
"tmp","29","atrial fibrillation"
"tmp","29","major bleed"
"tmp","31","thirst"
"tmp","33","diabetic"
"tmp","35","anxiety"
"tmp","35","panic attack"
"tmp","37","inflammation"
"tmp","39","pain"
"tmp","45","vt"
"tmp","47","atrial fibrillation"
"tmp","48","migraine"
"tmp","49","fall"
"tmp","51","rash"
"tmp","51","pain"
"tmp","55","rash"
"tmp","56","atrial fibrillation"
"tmp","61","anxiety"
"tmp","61","panic attack"
"tmp","63","anxiety"
"tmp","65","anemic"
"tmp","71","milia"
"tmp","73","anxiety"
"tmp","75","pain"
"tmp","76","embolism"
"tmp","76","pulmonary embolism"
"tmp","77","vt"
"tmp","81","constipation"
"tmp","81","thrombosis"
"tmp","81","deep vein thrombosis"
"tmp","82","infection"
"tmp","82","pelvic infection"
"tmp","83","panic attack"
"tmp","84","vt"
"tmp","88","headache"
"tmp","88","ache"
"tmp","92","scar"
"tmp","94","depression"
"tmp","95","depression"
"tmp","95","major depression"
"tmp","98","pain"
"tmp","99","infection"
"tmp","99","urinary tract infection"
"tmp","102","surgery"
"tmp","104","pregnancy"
"tmp","106","vt"
"tmp","109","breast cancer"
"tmp","110","pain"
"tmp","110","leg pain"
"tmp","111","thrombosis"
"tmp","112","poisoning"
"tmp","114","infection"
"tmp","114","nausea"
"tmp","114","chills"
"tmp","114","swelling"
"tmp","114","fever chills"
"tmp","114","kidney infection"
"tmp","117","coma"
"tmp","117","glaucoma"
"tmp","118","headache"
"tmp","118","ache"
"tmp","120","pneumonia"
"tmp","121","anxiety"
"tmp","121","anxiety attack"
"tmp","123","drug interaction"
"tmp","129","back pain"
"tmp","129","pain"
"tmp","130","acne"
"tmp","130","oily skin"
"tmp","132","vt"
"tmp","133","atrial fibrillation"
"tmp","136","mood swings"
"tmp","137","chest pain"
"tmp","137","pain"
"tmp","139","depression"
"tmp","140","pain"
"tmp","144","crying"
"tmp","146","pain"
"tmp","147","vivid dreams"
"tmp","148","pain"
"tmp","150","anxiety"
"tmp","150","depression"
"tmp","151","thyroid disorder"
"tmp","154","pain"
"tmp","154","shock"
"tmp","155","infection"
"tmp","156","pain"
"tmp","158","tinnitus"
"tmp","160","drowsiness"
"tmp","160","drug interaction"
"tmp","161","priapism"
"tmp","162","depression"
"tmp","163","coma"
"tmp","170","anxiety"
"tmp","170","pain"
"tmp","170","chronic pain"
"tmp","173","drug interaction"
"tmp","174","cough"
"tmp","177","surgery"
"tmp","178","scar"
"tmp","180","high cholesterol"
"tmp","182","anger"
"tmp","184","infection"
"tmp","184","nausea"
"tmp","184","pain"
"tmp","184","kidney infection"
"tmp","186","infection"
"tmp","186","swelling"
"tmp","186","plantar fasciitis"
"tmp","186","fasciitis"
"tmp","187","venous thrombosis"
"tmp","187","thrombosis"
"tmp","196","pain"
"tmp","197","anxiety"
"tmp","198","vt"
"tmp","199","constipation"
"tmp","200","poisoning"
"tmp","200","infertility"
"tmp","204","gas"
"tmp","207","anxiety"
"tmp","207","panic attack"
"tmp","209","pain"
"tmp","211","infection"
"tmp","211","headache"
"tmp","211","pain"
"tmp","211","ache"
"tmp","215","pain"
"tmp","215","burn"
"tmp","217","rash"
"tmp","220","gingivitis"
"tmp","224","mood swings"
"tmp","225","hypertension"
"tmp","225","tension"
"tmp","244","pain"
"tmp","247","overdose"
"tmp","251","surgery"
"tmp","253","infection"
"tmp","253","headache"
"tmp","253","ache"
"tmp","254","vt"
"tmp","255","fall"
"tmp","257","infection"
"tmp","257","bacterial infection"
"tmp","259","rash"
"tmp","259","pain"
"tmp","259","neuralgia"
"tmp","260","depression"
"tmp","262","depression"
"tmp","267","thrombosis"
"tmp","271","atrial fibrillation"
"tmp","272","asthma"
"tmp","274","pain"
"tmp","277","nausea"
"tmp","278","pain"
"tmp","278","arthritis"
"tmp","281","ache"
"tmp","282","pregnancy"
"tmp","288","overdose"
"tmp","290","worry"
"tmp","291","nausea"
"tmp","291","pain"
"tmp","293","cough"
"tmp","293","blindness"
"tmp","294","surgery"
"tmp","294","pseudotumor"
"tmp","295","migraine"
"tmp","297","wound"
"tmp","297","scar"
"tmp","297","scratch"
"tmp","298","pain"
"tmp","298","ache"
"tmp","298","high cholesterol"
"tmp","299","eczema"
"tmp","302","infection"
"tmp","310","fall"
"tmp","313","surgery"
"tmp","315","acne"
"tmp","315","scar"
"tmp","318","acne"
"tmp","322","chest pain"
"tmp","322","cough"
"tmp","322","headache"
"tmp","322","nausea"
"tmp","322","pain"
"tmp","322","numbness"
"tmp","322","ache"
"tmp","323","chills"
"tmp","323","burn"
"tmp","324","anorexia"
"tmp","324","alopecia"
"tmp","324","fall"
"tmp","324","pica"
"tmp","330","depression"
"tmp","332","brown urine"
"tmp","333","dehydration"
"tmp","333","brown urine"
"tmp","334","dehydration"
"tmp","336","shock"
"tmp","342","headache"
"tmp","342","pain"
"tmp","342","migraine"
"tmp","342","ache"
"tmp","343","anxiety"
"tmp","345","infection"
"tmp","345","yeast infection"
"tmp","346","anger"
"tmp","347","vt"
"tmp","349","burn"
"tmp","350","infection"
"tmp","350","pharyngitis"
"tmp","350","laryngitis"
"tmp","352","palpitations"
"tmp","353","scar"
"tmp","354","milia"
"tmp","355","infection"
"tmp","362","infection"
"tmp","363","hallucination"
"tmp","363","excessive daytime sleepiness"
"tmp","363","narcolepsy"
"tmp","363","short period"
"tmp","366","migraine"
"tmp","369","headache"
"tmp","369","anger"
"tmp","369","ache"
"tmp","370","anger"
"tmp","372","cough"
"tmp","376","scar"
"tmp","378","feeling sick"
"tmp","379","clotting"
"tmp","380","surgery"
"tmp","380","breast enlargement"
"tmp","383","myalgia"
"tmp","383","migraine"
"tmp","383","fibromyalgia"
"tmp","384","trauma"
"tmp","385","atrial fibrillation"
"tmp","385","surgery"
"tmp","388","pain"
"tmp","388","vertigo"
"tmp","389","thrombosis"
"tmp","389","aneurysm"
"tmp","389","obstruction"
