                                                                                                                                                                                                                                                                                                                                                                                                                                                           Question
1                                                                                   warfarin side effects question? | yahoo answers | my mom was put on warfarin about a month ago, for a blood clot in her leg anyways she has almost all of the side effects, and she tells her doctors but they dont listen. is there anything really bad that can happen to a person thats experiencing bad side effects on warfarin? like what can happen and stuff. please...
2                                                                        can itching be a side effect of warfarin? | yahoo answers | i have been on warfarin 5-7mg everyday for the past 3 weeks or so after being hospitalized with a total of 4 blood clots.  i had a large clot in right knee 2-3 weeks following an acl surgical repair, a small clot in the other leg, a pulmonary embolus in my pulmonary artery (worst clot of all) and a pe in the other...
3                                                                                                                                                                                                                                                                                                                                                                                    what are the side effects of warfarin(coumadin)? | yahoo answers | no-question
4                                                                           do you have side effects of warfarin sodium? | yahoo answers | do you have any side effects? i had open heart surgery on june 28th 2012, a valve replaced, medal one, then put on warfarin sodium, 4mgs monday, wednesday & friday, then 6mgs the rest of the days.  i get regular blood checks.  since i started the warfarin, i feel weird, like almost hyper, can't relax and for...
5                                                       what are the side effects of taking warfarin and being pregnant? | yahoo answers | so i am a 16 year old girl taking a blood thinner. before this i was so healthy and very active in school && sports. i think i might be pregnant. and cant tell my mom because she will force me to get an abortion and i will not. so i need to know what i can do. and how to tell her or how to hide it as long as...
6                                                                                                                                                             im wondering if anyone has experienced side effects from taking warfarin? | yahoo answers | i have been taking warfarin for 4 months and am noticing water retention and big time weight gain.has anyone out there had any of this happening. im also wondering about any other side effects noticed.
7                                                                          help needed - asap! pregnant or warfarin side effects? | yahoo answers | okay so i posted before about my possibility of being pregnant (had intercourse unprotected, no ejaculation, i was on the pill) and this question is pretty much the same...kinda. so, anyway, i'm in hospital now,for 7 days having discovered i have a clot in both of my lungs. i'm 17 and was an average...
8                                                                                                                                                                                                                                                                                                                                                                                                           side effects of warfarin? | yahoo answers | no-question
9                                                                                                                                                                                                                                                                                                                                                                                  are shortness of breath a side effect of warfarin? | yahoo answers | no-question
10                                                                                                                                                                                                                                                                                                                                                                                  what are the side effects of coming off warfarin? | yahoo answers | no-question
11                                                                                     possible side effect of coumadin? | yahoo answers | are higher blood pressure (about 20 points) and/or lower heart rate possible side effects od coumadin that anyone else knows about???  i know that lower blood pressure is possible.  if not, could it be a drug interaction.  my dad has atrial fibrillation and has been on coumadin for a couple of weeks and both...
12                                                                                                                                                                                                                                    what are the side effects of warfarin? | yahoo answers | my grandmother has tooken this and she get's real sick. i know she needs to take it, but what's the point when she get's so sick that she has to go to the hospital?
13                                                                                                                                                                                             coumadin (warfarin) question. is hair loss a "common" side effect of coumadin? | yahoo answers | also when it gets to high she feels kind of a heart burn "like" feeling. is this a symptom of high inr or just coincidence?       for all you insomniacs out there.
14                                                                     soothing a sore throat as a side effect of warfarin? | yahoo answers | i take warfarin every night. now and then my dosage is changed. when i have to take more than 5mg per night, the next morning i wake up and my throat hurts so bad its hard to talk actually. unfortunately, my doctor has decided i need to take 5 (or more) from now on. so, does anyone have home remedies (not...
15                                                     side effects of contraceptive injection when taking warfarin? | yahoo answers | i am on warfarin for the next 6 months, i have recently had an emergancy copper coil fitted but as its causing so much pain and very heavy periods, i am thinking about going on the injection, are there any side effects known when taking warfarin? is it true the injection is likely to cause weight gain? bad skin?...
16                                                                                                                                                                                                                                                                                                                                 what are the side effects of lipitor? | yahoo answers | i was just wondering what could be the possible side effects of lipitor.
17                                                                                                                                                       ginkgo biloba side effects? | yahoo answers | hey guys, i’ve been taking ginkgold (ginkgo (ginkgo biloba) for a few days now and i’m feeling like all my senses have been enhance. i was wondering if this was normal or it was something else. also do you guys happen to know the side effects for this?
18                                                                                                                                                                                                                                  side effects of acitrom tablet? | yahoo answers | i am using acitrom tablet for past few years. i need to know the side effects of the acitrom tablet. can you pls tell me? your information will be precious for me to survey.
19                                                                                                                                                                                           warfarin 5mg tablets? how dangerous is it? | yahoo answers | my mother who is in her late 70s has been prescribed warfarin 5mg tablets. can anyone who also takes these/knows someone that does please give me a personal account on what the side effects are. thanks
20                                                                                                                                                                                                                                                                                                                what are the long term side effects of omeprazole? | yahoo answers | i want to know about the long term side effects of the medicine, omeprazole.
21                                                                                                                                                                                                                                                                                                                                                        can anyone give me any of their side effects of the blood thinner cumundin? | yahoo answers | no-question
22                                                                 question about ciprofloxacin and its side effects? | yahoo answers | hello! i have been prescribed to take ciprofloxacin 500 mg twice daily to treat my uti. today is my 5-th day taking this medicine,however i still feel pain and burning feeling when urinating. but what concerns me more, i started to sweat a loooooot (especially last night) also skin on my hands looks like it was...
23                                                                                                                                       what are the side effects of drinking on coumidin(warfarin)? | yahoo answers | i have to take blood thinners for the rest of my life.  i take (15mg) every day but sunday which is (10mg).  on top of that i drink alcohol some times heavily.  what are some of the side effectsof doing this?  i've experienced nothing.
24                                                                                             what are the side effects to paxil? | yahoo answers | my doctor put me on paxil for my anxiety and told me that it would help me with depression as well. i don't think i'm depressed nor do i feel depressed (have been in the past) but do suffer from anxiety disorder. and today i took my first paxil pill and lots of stuff running through my head. i feel...
25                                                                                          antibiotics and side effects? | yahoo answers | the antibiotic azithromycin tabletes?hi, i went to the emergency room a few days ago in regards to pain i was having in my ear. they told me i got a really bad ear infection. i started to take this antibiotic called azithromycin tablets. the first day i took it wasn't so bad. but i woke up this morning with...
26                                                                                                                                                                                                                                                                                                                                                                                                does warfarin effect muscle growth? | yahoo answers | no-question
27                                                                         warfarin, does anyone have any experiences to share? | yahoo answers | hii am a 33 year old male, fit, ideal weight, non smoker and very occassional drinker. diet is healthy.i am just recovering from a dvt in my left calf, this follows a pe in 2006, the cause of which has never been diagnosed.i have now been perscribed warfarin for life but the information on the net and...
28                                                                                                                                                                                                                                  side effects of acitrom tablet? | yahoo answers | i am using acitrom tablet for past few years. i need to know the side effects of the acitrom tablet. can you pls tell me? your information will be precious for me to survey.
29                                                               side effects of discontinuing xarelto?please help!? | yahoo answers | my mom's doctor prescribed her xarelto as a blood thinner...but it is causing major bleeding in her gums....major... what are the side effects if she discontinues the medication? as i was researching on the web,i only see side effects for patients with  nonvalvular atrial fibrillation,and she does not have that....
30                                                                                                                                                                                                                                                                                                                                                                                   does st.john's wort have any known side effects? | yahoo answers | no-question
31                                                                            side effects of sulfamethoxazole-tmp ds tabitp? | yahoo answers | i've been taking this for nearly a day now, and to be honest i feel like more s.hit then i did before. i have cotton mouth and everything i eat tastes the same, like total garbage. not to mention i'm very thirsty always. however as much as i drink it won't make the taste or cotton mouth go away. ah, and...
32                                                                                                                                                                                                                                                                             when should one take blood thinner tablet...clopigrel 75mg.what r the side effects? | yahoo answers | actually what is happening in human body after taking blood thinner medicines?
33                                                                                                                                                                                                                                                                                                                                                 does daonil drug for diabetic patients have side effects and how efficeient is it? | yahoo answers | no-question
34                                                                              high levels of warfarin?(coumadin)? | yahoo answers | i am almost 23 and was put on warfarin because i got blood clots in my left leg and lungs.last year  (right lung got it worst) and i have been getting really bad brusing for about two weeks. i recently took a lab to check my warfarin levels and they are high. i want to know what an happen if they are too high and...
35                                                                                                                                            i have anxiety/panic attacks i been on zoloft for about 1 year i been on 50mg i began to have side effect? | yahoo answers | i reduced it to 25mg i have horrfic feelings its like im dying and i feel my blood is not moving and i feel like no more adrenaline in my body what they is going on please answer thanx
36                                                                                                                                                                                                                                                                                                                                                                                          what are the side effects of warfrin 3mg? | yahoo answers | no-question
37                                                                                                                                                                                                                                                                         are there any side effects from taking celery seed infusions? | yahoo answers | my friend said to take celery seed tea for inflammation, but i don't know if there are any side effects.
38                                                                                                                                                                                                                                                                                                                                                                        what is propylthiourt ab50mg and what are the side effects? | yahoo answers | no-question
39                                                                                                   warfarin muscle pain? | yahoo answers | hello. i've been taking warfarin(5mg) for almost a week now and for the passed couple nights i got horrible muscle pain,heart pain and skin color changed...(i never have any muscle pain before but i have irregular heartbeat because of graves disease).just wondering what is the reason causing the pain? side...
40                                                                                      does warfarin cause weight gain? | yahoo answers | okay i am a 14yr old female and i am on coumadin for the rest of my life and i have been taking it for almost 2 and a 1/2 months and i am a perfect weight for my age and size i am 5'8 and 130.2 pounds(just went to the specialist yesterday) forgot to ask. but will it make me gain weight because i love my body...
41                                                            how many different milligrams of coumadin are they? | yahoo answers | my mom is taking coumadin and is bruising horribly and bleeding fom her bowels & kidneys. the doctors are having ah hard time getting the right dosage for her. she has an irregular heartbeat. she is now taking 5 miligrams every other day. does coumadin come in lower dosages than 5mg. is this a side effect of coumadin?
42                                                                                                                                                                                                                                                                                                                                                                                         what are the real side effects of ginseng? | yahoo answers | no-question
43                                                                      is anyone taking warfarin for a blood clot in the lower legs. have been prescribed it by a doctor.? | yahoo answers | i have be given warfarin to take and heparin injections.this is all making me feel so nervous. what will i feel like when the blood thins and will it cure the blood clot? can anyone else who has had it help me? heard about so many side effects that frighten me.
44                                                         my inr level is kinda high, is that why i feel like this? | yahoo answers | i had a small blood clot in my lung and now i have to take coumadin for the next 6 months. i have only been on it for about 3 weeks now. i had my inr checked on monday and it came back at 3.9 when i was told it should be maintained between 2-3. i have kept taking my medicine as my doctor said i should but i feel...
45                                                                                                                                                                                                                   natural alternatives to warfarin? | yahoo answers | i was diagnosed with dvt & am now taking warfarin. i am having terrible side effects to this medication and want to know if there are any natural alternatives which i could take instead.
46                                                                                                                                                                                                                                                      what are the long term effects of coumadin? how many years can a person be on it safely? | yahoo answers | coumadin, generic form: warfarin, is a medicine to thin blood following heart valve replacement.
47                                                                                                                                                                                                   uk only: i may have to start taking warfarin. if so do i have to inform dvla and my insurance company? | yahoo answers | uk only: i may have to start takng warfarin, to treat atrial fibrillation .  if so do i have to inform dvla and my insurance company?
48                                                                    warfarin/cumoudin makes my grandmother sick.? | yahoo answers | everytime she takes those bloodthinners, she gets sick. she starts having migraines, which makes her vomit uncontrollably. i'm living with her because i was having problems at home with my mother (in michigan). i'm seriously contemplating going back to my mother because i just can't deal with my grandmother being...
49                                                        how long does it take for coumadin (warfarin) to make your hair fall out? | yahoo answers | i've already been bald from chemo once. i am really frustrated i'm going to lose my hair again.  none of my doctors will give me an answer, my pharmacist said i probably wouldn't lose hair.  i'm totally paranoid and upset and obsess over whether or not hair is coming out, or if it looks dry, or if...
50                                                                                                                                                                                                                                                                                                                     i have been taking warfarin x6 years and have gained 30 lbs.  is this common? also have hair loss. heart valve | yahoo answers | no-question
51                                                                           what are the side effects of cumadin? | yahoo answers | i have been on cumadin for 13 years sense i was 6 months old it was never causing me issues but for the last 3 weeks i started to get a sharp pain in my right shoulder shoulder blade and upper arm i also got a rash itchy on both of my forearms stomach pains are thes from the meds or not cause it a pretty close quince
52                                                                                    does warfarin/coumadin make you tired? | yahoo answers | back in june i was hospitalized with a blood clot in my lung. my dr. put me on warfarin/coumadin, 9 mg per day. i have a blood test once a month, my inr level is usually between 2.5 and 3.0, which is normal. as soon as this happened he took me off of premarin, which i had been on for 12 years following a...
53                                                            husband stops taking warfarin (without doctor's advice)? | yahoo answers | my husband(32 years)is on warfarin since 5 years but last year a relative died because her blood was too thin .she was 70 years.now my hubby do not takes his warfarin regularly.he pretends that it has many side effects and that his blood may become too thin.he don't go for his  inr test regularly and stops his...
54                                                                                                                                                                                                                                                                                  dosages of warfarin,aspirine and ticlopidine? | yahoo answers | i need the dosages for my assignement as a dental assistant,i cannot find anything on this.need yor help,pleae!
55                                                                     health question regarding stomach and legs? | yahoo answers | my friend has to give herself a needle in her stomach because she is prone to blood clots and this needle helps to control this. now, she has begun to notice a lump forming on her stomach that is getting bigger and is turning a yellowish color. at the same time, one of her legs is bruising and turning into a rash....
56                                                                     amiodarone for controlling atrial fibrillation? | yahoo answers | my doctor decided to fully load me with amio after just 9 episodes of afib. since 2005. i didn't question it until i read about all of the serious side effects that can happen. i then saw him again and told him i wanted off of amio. stopped the amio in feb. 2007. he then put me on digoxen.....nasty med for me....
57                                                                                                                                                                   i am currently on warfarin for a blood clot disorder. anyone know about the progress on replacements? | yahoo answers | i know a new anticoagulant called xarelto is being developed, but would this be a replacement for warfarin? anyone know when this will be marketed and sold in the us?
58                                                                                                                                                                                                                                   acid blockers 4 acid reflux? | yahoo answers | i get a lot of acid reflux and i take otc acid blockers for it.  do these have any side effects with your stomach.  i don't have insurance to see the dr or get a prescription.
59                                                                                                   rat poison (warfarin) info? | yahoo answers | i'm am a mcmaster med student and i am looking for opinions from people who know what they're talking about. i am doing a project on warfarin, working on the section of rat poison ingestion right now. i have some questions. i've looked in the text books but i always like to hear from other people who...
60                                                                                                                                                                                                                                                                                                                     i haven't read it anywhere but does anyone know of daily-heavy nose bleeds as a side effect of taking lipitor? | yahoo answers | no-question
61                                                                                                                                                                                                                                                                                                                                  has anyone tried st. john's wort for anxiety and panic attacks? | yahoo answers | side effects? good effects? dosage? cautions?
62                                                                                                birth control for too long? | yahoo answers | i've been on b.c. for almost 10 yrs and like most women i got on it to help with my (heavy) periods. i've been doing research the harm it can do or side effect for being on it to long. i'm 23 yrs old and have been with my boyfriend for 4 yrs and with talking about our future with having kids i just want...
63                                                                                                                                                                                                                                                                                                                        i take pristiq, 50 mg.can you add 20mg of cymbalta to address worsening anxiety side effect of the pristiq? | yahoo answers | no-question
64                                                             effects of an ear piercing while on coumadin(warfarin)? | yahoo answers | i was just wondering what could happen to me if i went and got my ears pierced while i was on the drug coumadin (warfarin). the only risk i can see is bleeding, but when watching my friends get it done there seems to be little to no blood, though im not medically trained so im wondering what other side effects...
65                                                                                                                                                                                     does anyone know what the drug procrit is used to treat? | yahoo answers | my mother is severely anemic and her dr. has prescribed 3 injections of procrit.  i was wondering if any of you had knowledge about it or have taken it and if so what side effects did you have?
66                                                                                                                                                                                                   what are the most effective drugs in treating type 2 diabetes? | yahoo answers | i know some drugs used to treat type 2 dm may have some bad side effects like heart failure and are not too safe, but besides side effects which ones are the most effective?
67                                                                   can i drink warfarin and nitrufoni together? | yahoo answers | im just paranoid since ive been drinking alot of medication im on omeprazole for acid reflux im on nitrufoni for a uti and warfarin for a past p.e and well i also have to take meclazine and adavan when needed i know warfarin n omeprazole have some interaction n well im afraid to take the wrfarin and nitrufoni since...
68                                                                                                                                                                                                                             i need an alternative to dilantin,which would be the best,with the least side effects? | yahoo answers | it must be something that goes well with phenobarbitol. also any other websites of assistance would be most helpful. thanks
69                                                                                                                                                                                                                                                                        how many people report hair loss using warfarin? | yahoo answers | i,m starting to take warfarin 3mg one time a day .. how high is the risk for hair loss using 3mg dose one time a day ?
70                                                                                             what are the effects of rat poision on humans? | yahoo answers | my fiance is in the military and the water on their base was poisoned with rat poision. he is recieving treatment but we are not getting much information. the only side effects i know of are nausua, diahrea, and the blood becomes thinner. are there any other short term or long term effects?
71                                                                                                                                                                                                                                                                                                   is anyone familiar with the medication "mitotane"? | yahoo answers | if so, do you know of any possible side effects that this medication may cause? thank you
72                                                                                                                                                                                                                                              information on this drug? | yahoo answers | belladonna phenobarb elixir (liquid form) i need the basic information. side effects? how strong is it? can it be addicting? is it a narcotic? what exactly does it do?
73                                                                                           how much st. johns wart should i take? | yahoo answers | i got a bottle of st johns wart. made by finest natural. i bought it at walgreens.it is 300mg tablets.it says "take 3 tablets each day"im guessing that means at 3 different times right?how long does it take for this stuff to work?i thought it might help my anxiety, so id give it a try.do i have to...
74                                                     dizzy during period in the summer (plus prescription meds)? | yahoo answers | i have type 1 diabetes (since nov. 2003) and lupus (since july 2006),  and during the summer last year i would get dizzy during the first day or 2 of my period each month.  at the time i was on 2 different types of insulin for my diabetes (still am on both insulins), and was on cellcept, 2 blood pressure meds, and...
